feature,n_days,ic_mean,ic_std,ic_ir
corr_obv_vwap20,183,0.04074537587276645,0.2843949944905414,0.14327036874360746
vwap20,183,0.03980476406029739,0.31494317188593957,0.1263871310355826
macd_signal,183,0.04228001922921151,0.33936894598100287,0.12458423083588215
vwap10,183,0.03879472598887344,0.3199284423193069,0.12126063436677331
don20_hi,183,0.037208522084892254,0.3199685157197984,0.11628807254645104
sma20,183,0.036636237153550855,0.318763355588823,0.11493239858434671
sma5,183,0.035358072831577235,0.32591967231291363,0.10848707742054634
sma10,183,0.03509277999197157,0.32458659231171216,0.10811530948929463
don20_lo,183,0.03334955129528215,0.31685602711273436,0.10525143388913748
don55_hi,183,0.03160240992834341,0.3054243817517312,0.1034704879931996
ema50,183,0.033404241016138626,0.32629116710558875,0.1023755598721229
ema20,183,0.033113838756425595,0.3265879719873796,0.10139331970349447
ema10,183,0.032540164921096536,0.32678846088180796,0.09957562373443153
ema5,183,0.031893506956336526,0.3269012058114306,0.09756313617628809
macd,183,0.0332448329682689,0.35083873493751117,0.09475815969816463
don55_lo,183,0.024212879358948853,0.3002002542884257,0.080655758722409
sma50,183,0.02473040373996925,0.3082255905277255,0.08023475149286784
rsi14,183,0.022268401412117254,0.3217611275337481,0.06920786707080939
atr10,183,0.017408178012228704,0.35095564060366713,0.04960221734200726
atr14,183,0.016800348364886024,0.34714542639253076,0.0483957069262768
cmf20,183,0.015098897876199292,0.31457790202090513,0.04799732508610403
tr14,183,0.01581280335218872,0.34167047163560854,0.046280860122943863
rsi10,183,0.014572476387621722,0.32876302731982804,0.04432516777234845
rsi6,183,0.013022116093035154,0.3214034716476156,0.04051641379529369
mfi14,183,0.01022295989319929,0.3175691162759571,0.032191291082992415
ma_squeeze_20_50,183,0.009214318391207897,0.338008582557324,0.027260604728534088
vol_z20,183,0.009256570658499573,0.34556749257212127,0.026786578108995922
pos_in_don20,183,0.0080667710431295,0.3154218526737216,0.02557454706823809
stochd14,183,0.008042064219133657,0.3185728772544502,0.02524403289821272
atr5,183,0.008716077335493745,0.35991095459874267,0.024217315977486165
ema12_26_rel,183,0.006977499939131364,0.3755286573704923,0.018580472578067376
corr_close_vol20,183,0.0036023264438094314,0.3006769342324609,0.01198072090572688
stochk14,183,0.0031727052188525486,0.32266555428190496,0.009832797975850361
rsi5,183,0.002008970801484675,0.33079756543788713,0.006073112396556561
roc10,183,0.0008559535389205355,0.38595138223432,0.0022177755440271766
cci20,183,-0.009149570582262342,0.3327353562705813,-0.027498041258121796
macd_hist,183,-0.011488237813806245,0.3812158922983281,-0.030135778743138327
rel_range,183,-0.012692730169642234,0.39131242541883215,-0.03243630744313973
roc20,183,-0.012567583523626384,0.3826131692984334,-0.03284670915489874
dev_ema20,183,-0.014560519922981553,0.38995191470278856,-0.03733927014242241
dev_sma20,183,-0.01767182487295119,0.3845260696932128,-0.045957416726238924
vol10,183,-0.019922613479147165,0.3883091966628053,-0.051306056099261636
logret_1,183,-0.019960860799030165,0.38675051038595193,-0.05161172438401903
obv,183,-0.01653838744851287,0.3046616551028251,-0.05428444018872879
vol_roc5,183,-0.017575374093000272,0.31605837889346045,-0.05560799906309943
ret_5,183,-0.023846746315332946,0.3867754736998105,-0.06165526998277543
roc5,183,-0.023846746315332946,0.3867754736998105,-0.06165526998277543
willr14,183,-0.02218364717149826,0.3119509790255358,-0.07111260612062299
vol20,183,-0.027891745813529756,0.3735990836082025,-0.07465689013339029
parkinson20,183,-0.031516926250700655,0.3759192671676523,-0.08383961376687069
gk20,183,-0.03380009286764635,0.37446707714481425,-0.09026185435338896
stochk5,183,-0.03203196854723638,0.3137532075802042,-0.10209287959854632
curv5,183,-0.06605746840511315,0.3469136453211559,-0.1904147303100332
