feature,importance
obv,0.03455477083671879
logret_1,0.033668869167699976
ema12_26_rel,0.03333690825930786
vol10,0.030503782995252814
parkinson20,0.028806796620457674
cci20,0.028143174113844423
roc10,0.02776294851008548
ma_squeeze_20_50,0.02711811612520624
rel_range,0.026246741487130208
curv5,0.025652814608250817
rsi5,0.025463616136770496
roc20,0.024943715683987816
vol20,0.024569408507731764
macd_signal,0.024373257073152646
cmf20,0.023893006662807362
mfi14,0.023227334599685318
rsi10,0.023226032835650813
gk20,0.022997298751891552
ret_5,0.02250823318222528
willr14,0.022133272056051544
dev_ema20,0.022123408952729667
stochk5,0.02148907054073324
roc5,0.02045696348528082
stochd14,0.02035430054836211
rsi6,0.020180999167919923
vol_z20,0.01996664402878797
macd_hist,0.019902144454807088
macd,0.01922783898224662
stochk14,0.018499681538936597
sma50,0.0178346317289776
tr14,0.017412478830906936
rsi14,0.017151702913426894
dev_sma20,0.017089900621891405
pos_in_don20,0.01696353202573043
atr5,0.01658693407419561
corr_obv_vwap20,0.01576829629599275
atr10,0.013812832436824745
ema20,0.013488678720888141
atr14,0.01300036036838249
sma5,0.01298553689532873
ema5,0.01266198377490684
ema50,0.012494976459127336
ema10,0.012002340190735327
don55_lo,0.011866436383539476
sma10,0.010253699602543433
vwap10,0.0095353765124998
sma20,0.009492367865095388
don20_hi,0.008631440215034118
don55_hi,0.008552322082992996
don20_lo,0.008432899170379279
vwap20,0.007896111249071462
vol_roc5,0.0007142576842949588
corr_close_vol20,3.9753983520933454e-05
