year_month,feature,monthly_direction_acc_mean,monthly_direction_pred_mean,monthly_class_sep_mean,days_in_month,monthly_success_rate
2020-01,rsi5,0.8179487179487179,2.3250681888730287,1.1625340953985501,2,0.9508932729029166
2020-01,rsi14,0.8179487179487179,2.091674534235537,1.0458372680926624,2,0.8554412526193829
2020-01,rsi6,0.7461538461538462,2.1152984084045467,1.0576492050742416,2,0.7891690222477034
2020-01,roc5,0.7794871794871795,1.8639114516744506,0.9319557264191378,2,0.7264475405933792
2020-01,ret_5,0.7794871794871795,1.8639114516744506,0.9319557264191378,2,0.7264475405933792
2020-01,roc10,0.8564102564102565,1.6034924973945293,0.801746249079594,2,0.6866237107502164
2020-01,pos_in_don20,0.8282051282051281,1.6562214713536614,0.8281107362077201,2,0.6858455584489579
2020-01,stochd14,0.7564102564102564,1.7986184512242116,0.8993092262409321,2,0.6802467224130128
2020-01,rsi10,0.7794871794871795,1.6781171219029416,0.8390585614849777,2,0.6540353915164955
2020-01,dev_sma20,0.823076923076923,1.5518774505353936,0.7759387256212908,2,0.6386572587806009
2020-01,cci20,0.7794871794871795,1.6033028621958536,0.8016514315864285,2,0.6248770133391648
2020-01,dev_ema20,0.7512820512820513,1.6210417695480983,0.8105208851702315,2,0.6089297932176354
2020-01,stochk14,0.7564102564102564,1.4592331452441918,0.7296165730932831,2,0.5518894591346628
2020-01,willr14,0.7564102564102564,1.4592331452417358,0.7296165730931541,2,0.5518894591345652
2020-01,mfi14,0.7076923076923077,1.3454363183713516,0.6727181597738284,2,0.4760774669168632
2020-01,stochk5,0.7512820512820513,1.1908096968649589,0.5954048487741106,2,0.44731697613029336
2020-01,roc20,0.6897435897435897,1.0232154047126685,0.5116077025649605,2,0.3528781333076266
2020-01,ema12_26_rel,0.6512820512820513,1.0683001298105483,0.5341500651699858,2,0.3478823501363497
2020-01,macd_hist,0.7461538461538462,0.7840180877473091,0.3920090448969407,2,0.2924990565769481
2020-01,vol_z20,0.7794871794871795,0.6698387442774423,0.33491937230905144,2,0.2610653568767991
2020-01,ema50,0.5256410256410257,0.9395108659982037,0.46975543512889995,2,0.24692272872160126
2020-01,ema20,0.5256410256410257,0.8940623398919656,0.4470311718248037,2,0.2349779236514994
2020-01,rel_range,0.6358974358974359,0.7204707856435264,0.36023539299981444,2,0.22907276272808713
2020-01,parkinson20,0.6846153846153846,0.6650609964168581,0.33253049851052385,2,0.22765549513412786
2020-01,atr10,0.5307692307692308,0.8351015766767182,0.41755078948692936,2,0.2216231113430625
2020-01,ema10,0.5256410256410257,0.8326156034775261,0.41630780335415596,2,0.21882846073744097
2020-01,corr_obv_vwap20,0.6076923076923078,0.7167950248834138,0.3584006650168181,2,0.21779732720252795
2020-01,logret_1,0.5256410256410257,0.7994120824150988,0.39970604145784216,2,0.21010189358681447
2020-01,cmf20,0.5846153846153846,0.7050540801043679,0.3525270402126143,2,0.20609273120122065
2020-01,sma10,0.49230769230769234,0.8346299961521388,0.4173149996178424,2,0.2054473844272455
2020-01,sma5,0.5307692307692308,0.7686032865533241,0.38430164459795957,2,0.2039754882866093
2020-01,ema5,0.5307692307692308,0.7654983778198634,0.3827491902646173,2,0.20315149329429688
2020-01,macd,0.5897435897435898,0.6424872573760954,0.3212436292867452,2,0.1894513711178241
2020-01,vwap10,0.49230769230769234,0.763796156117653,0.38189807933865294,2,0.18801136213595224
2020-01,tr14,0.49743589743589745,0.7399316184897224,0.3699658100676949,2,0.1840342747516226
2020-01,atr14,0.49743589743589745,0.7399316183757374,0.3699658100391986,2,0.18403427473744752
2020-01,don20_lo,0.5641025641025641,0.6465941567568672,0.32329707927280366,2,0.18237271138465846
2020-01,sma20,0.5256410256410257,0.6921490216286786,0.3460745118201525,2,0.1819109613413622
2020-01,vwap20,0.5641025641025641,0.6442083481797263,0.3221041749750372,2,0.18169979101155945
2020-01,don55_hi,0.5641025641025641,0.6360389581300736,0.31801947959270693,2,0.17939560387280903
2020-01,don20_hi,0.5256410256410257,0.6769861594426321,0.33849308062283834,2,0.17792585007097914
2020-01,sma50,0.5641025641025641,0.6289295371975048,0.3144647691627056,2,0.17739038260460316
2020-01,don55_lo,0.6025641025641025,0.5816486439152482,0.29082432239664213,2,0.1752402968287459
2020-01,atr5,0.45384615384615384,0.7610630422039993,0.38053152185211186,2,0.1727027676098046
2020-01,macd_signal,0.5897435897435898,0.5617825321620948,0.28089126684537147,2,0.16565382403701395
2020-01,gk20,0.641025641025641,0.4520425122071158,0.22602125628674452,2,0.1448854206966311
2020-01,vol10,0.6025641025641025,0.42277915452700116,0.2113895773741804,2,0.12737577098187794
2020-01,vol_roc5,0.7461538461538462,0.3162421584171586,0.15812833500111315,2,0.11798806534698443
2020-01,curv5,0.4358974358974359,0.5344909284083149,0.26724546505960295,2,0.11649161297469872
2020-01,ma_squeeze_20_50,0.5794871794871794,0.3189570644034165,0.15947853234925743,2,0.0924157648998261
2020-01,vol20,0.5794871794871794,0.3112812409511311,0.1556406205425713,2,0.090191744211849
2020-01,obv,0.717948717948718,0.16527153388055693,0.08263576696752026,2,0.05932824295104019
2020-01,corr_close_vol20,0.6794871794871795,7.518100850701681e-6,7.51791016788415e-6,2,5.108323575613589e-6
